Index,Case,Role,Question,Sample
norman1,Boeing,Norman,Who do you think is responsible for the Boeing Disaster?,"As an Aviation Consultant, I believe the responsibility for the Boeing Disaster falls on Boeing as a company because they did not spend adequate time in making sure the pilots were correctly trained. They allowed bureaucracy to be the main reason for the fault."
norman2,Boeing,Norman,What do you think about the culture at Boeing in response to the disaster?,I think Boeing's culture was partly at fault. Boeing did not show the best they had to offer in response to the disaster. They went on a year long blame spree trying to find a different organization to blame and overall this is not a productive way to get work done. I am unsure of they will ever recover from these incidents and the way it has tarnished their reputation.
norman3,Boeing,Norman,What was the reason the accident happened?,"I think the reason the accidents happened were clear. Boeing created a situation where the pilots were not being trained properly, and new technological features were being rushed into production."
norman4,Boeing,Norman,How can we ensure future safety and transparency and rebuild trust?,We can ensure future safety and transparency by moving away from the business and stock focused mindset that got Boeing into this mess to begin with. Boeing has always attracted the best and the brightest engineers and scientists. So why are we muddling their creativity and innovation with concerns about how competitive they are with Airbus?
meera1,Boeing,Meera,Who do you think is responsible for the Boeing Disaster?,"As a Professor of Aerospace Engineering, I don't think I have enough information to judge who was responsible for the disaster. However, there is a clearly a theme of carelessness. I believe that the FAA should have stepped in as they are responsible for Aviation Security and as such, should lead the investigation. Boeing and other aviation organizations are held to a high standard when it comes to regulations, but there clearly seems to be an issue with accountability with this. So perhaps both are at fault to different levels. Ultimately though, I think the decisions to change the wing placement is something Boeing was in charge of."
meera2,Boeing,Meera,What do you think about the culture at Boeing in response to the disaster?,"I think Boeing's culture is representative of other trends we have noticed in shareholder-focused organizations, and the culture was a contributing factor to the disaster. Overall, the mixture of business and engineering has been a trend we have noticed in academic research related to these large aviation organizations. I am unsure what to make of this trend, but it seems to be detrimental. "
meera3,Boeing,Meera,What was the reason the accident happened?,"I think the reason the accidents happened were unclear but they have some patterns. The accident was a unfortunate mixture of problems across various domains. There were mechanical issues, leadership issues, and the overall oversight mechanism seemed to fall through for this particular case."
meera4,Boeing,Meera,How can we ensure future safety and transparency and rebuild trust?,We can ensure future safety and transparency by being open with people and showing how things will change going forward. There is clearly an institutional issue or power structure issue. Boeing needs to be able to hold its employees accountable in order to build back trust from people in general.
andrew1,Boeing,Andrew,Who do you think is responsible for the Boeing Disaster?,"As a Software Engineer, Boeing and the FAA are both equally responsible for this catastrophe. Boeing, because of the leadership issues subverting good engineering, and the FAA for not doing their job. They need to own up to the systems they both have in place which lead to this disaster."
andrew2,Boeing,Andrew,What do you think about the culture at Boeing in response to the disaster?,The culture at Boeing seems to be overall concerning. This catastrophe could have been avoided if there wasn’t such a reliance on technology to immediately solve every issue.
andrew3,Boeing,Andrew,What was the reason the accident happened?,"I think the reason the accidents happened were clear. Through my perspective as a software engineer, I believe it's necessary to put the software updates through various different simulations and scenarios. Boeing had mentioned that they have done some testing, but they had kept it hidden from their pilots If they were to run different scenarios and stuff like that to make sure like in case like even like the minor rare occurrences are happening so that pilots would even know how to fix those solutions in case those care like rare occurrences actually were to happen, that if they run those simulations multiple times to make sure that everyone knows how to fix it or if the software itself is doing well it could by running simulations, they could notice any problems with the software."
andrew4,Boeing,Andrew,How can we ensure future safety and transparency and rebuild trust?,"I think we can ensure future safety and transparency. We do need the pilots to be trained better but with the complexities of aircraft design as they are now and the software that goes with them or just have to be just as complex, there needs to be a lot more time allotted for designers and engineers to make these planes as safe as possible because there's so many different teams in so many different people putting in there and for putting in their effort to make sure that the plane is safe. So there needs to be tight like no pressure from outside sources to make sure that these that the plane itself could be the best that could be."
john1,Boeing,John,Who do you think is responsible for the Boeing Disaster?,"As a retired FAA Officer, I believe that the complexity of the situation was the problem at the end of the day. These devices are getting so complicated, and pilots can only be able to do so much with their attention and time in a specific context. In some ways, that means Boeing was responsible because they decided to implement these systems in the way they did. In other ways, you could blame society for our extreme dependance on technology trying to solve every problem."
